20210620-135437, fd=8 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135437, fd=8 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135437, fd=13 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /scaleblack.png HTTP/1.1
20210620-135437, fd=13 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135437, fd=13 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135437, fd=4 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /~~fetchdx?min=145976&max=148024 HTTP/1.1
20210620-135437, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=1
20210620-135437, fd=14 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /websdr-sound.js HTTP/1.1
20210620-135437, fd=14 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135437, fd=14 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135437, fd=15 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=6
20210620-135437, fd=15 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /~~waterstream0?format=9&width=1024&zoom=0&start=0 HTTP/1.1
20210620-135437, fd=15 -2804:213c:21:77:b41a:2f90:3e40:c946-: changing to WebSocket
20210620-135437, fd=15 -2804:213c:21:77:b41a:2f90:3e40:c946-: assigned waterstream 0
20210620-135437, fd=16 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=7
20210620-135437, fd=16 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /~~stream?v=11 HTTP/1.1
20210620-135437, fd=16 -2804:213c:21:77:b41a:2f90:3e40:c946-: changing to WebSocket
20210620-135437, fd=16 -2804:213c:21:77:b41a:2f90:3e40:c946-: assigned stream 0
20210620-135437, fd=15 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~waterparam?slow=4
20210620-135437, fd=15 -2804:213c:21:77:b41a:2f90:3e40:c946-: websocket request GET /~~waterparam?band=0&zoom=0&start=0
